name,scissor_kick_combined,pa,obp,slg,singles,doubles,triples,hrs,whiffs,swings,bip,singles_per_pa,doubles_per_pa,triples_per_pa,hrs_per_pa,singles_per_bip,doubles_per_bip,triples_per_bip,hrs_per_bip,whiff_percent,ops
"Lee, Jung Hoo",False,355,0.307,0.446,77,22,4,6,84,652,326,0.21690140845070421,0.061971830985915494,0.011267605633802818,0.016901408450704224,0.2361963190184049,0.06748466257668712,0.012269938650306749,0.018404907975460124,0.12883435582822086,0.753
"Muncy, Max",False,304,0.27,0.526,45,16,1,20,179,650,232,0.14802631578947367,0.05263157894736842,0.003289473684210526,0.06578947368421052,0.1939655172413793,0.06896551724137931,0.004310344827586207,0.08620689655172414,0.2753846153846154,0.796
"Springer, George",True,285,0.245,0.416,44,13,1,11,144,647,235,0.1543859649122807,0.0456140350877193,0.0035087719298245615,0.03859649122807018,0.18723404255319148,0.05531914893617021,0.00425531914893617,0.04680851063829787,0.22256568778979907,0.661
"Manzardo, Kyle",False,281,0.221,0.38,41,9,1,11,197,645,190,0.14590747330960854,0.03202846975088968,0.0035587188612099642,0.03914590747330961,0.21578947368421053,0.04736842105263158,0.005263157894736842,0.05789473684210526,0.3054263565891473,0.601
"Mangum, Jake",True,265,0.309,0.379,68,10,1,2,135,643,222,0.25660377358490566,0.03773584905660377,0.0037735849056603774,0.007547169811320755,0.3063063063063063,0.04504504504504504,0.0045045045045045045,0.009009009009009009,0.2099533437013997,0.688
"Sheets, Gavin",False,290,0.228,0.426,37,15,0,14,130,638,235,0.12758620689655173,0.05172413793103448,0.0,0.04827586206896552,0.1574468085106383,0.06382978723404255,0.0,0.059574468085106386,0.20376175548589343,0.654
"Ramírez, José",False,281,0.239,0.415,39,18,0,10,106,635,242,0.1387900355871886,0.06405693950177936,0.0,0.03558718861209965,0.16115702479338842,0.0743801652892562,0.0,0.04132231404958678,0.16692913385826771,0.6539999999999999
"Chapman, Matt",False,287,0.251,0.398,46,18,1,7,146,631,229,0.1602787456445993,0.0627177700348432,0.003484320557491289,0.024390243902439025,0.20087336244541484,0.07860262008733625,0.004366812227074236,0.03056768558951965,0.23137876386687797,0.649
"De La Cruz, Elly",True,298,0.315,0.578,57,15,4,18,174,631,237,0.1912751677852349,0.050335570469798654,0.013422818791946308,0.06040268456375839,0.24050632911392406,0.06329113924050633,0.016877637130801686,0.0759493670886076,0.2757527733755943,0.893
"Benintendi, Andrew",False,276,0.251,0.439,41,16,2,10,181,625,214,0.14855072463768115,0.057971014492753624,0.007246376811594203,0.036231884057971016,0.19158878504672897,0.07476635514018691,0.009345794392523364,0.04672897196261682,0.2896,0.69
